,item_id,title,season,gender,brand,product,tag,price,likes,date
124,1839906,yul tweed opc skyblue,2021S/S,여,OUTX.O,xo21opc01,[],103000,0,2021-03-24
125,1836524,코튼 로고 디노 저지 원피스 (PW2B3TOP019WWT),2021S/S,여,SJYP,PW2B3TOP019WWT,"['코튼로고디노저지원피스', 'PW2B3TOP019W', 'PW2B3TOP019WWT']",239000,0,2021-03-24
126,1839879,flower scaf opc red,2021S/S,여,OUTX.O,xo21opc01,[],97000,0,2021-03-24
127,1838129,리넨혼방 벨티드 반팔 셔츠 원피스 (T32B3WOP47TWT2C87)TOMMY JEANS,2021S/S,여,TOMMY,/,['리넨혼방벨티드반팔셔츠원피스'],185000,0,2021-03-24
128,1839926,yul tweed opc ivory,2021S/S,여,OUTX.O,xo21opc01,[],103000,0,2021-03-24
129,1834198,그래픽 반팔 원피스 (T32B1WOP65TWT1BDS)TOMMY JEANS,2021S/S,여,TOMMY,/,"['그래픽반팔원피스', 'T32B1WOP65TWT1', 'T32B1WOP65TWT1BDS', '원']",115000,0,2021-03-24
130,1838131,리넨혼방 벨티드 반팔 셔츠 원피스 (T32B3WOP47TWT2AA8)TOMMY JEANS,2021S/S,여,TOMMY,/,"['리넨혼방벨티드반필셔츠원피스', 'T32B3WOP47TWT2AA8']",185000,0,2021-03-24
131,1839807,flower scaf opc yellow,2021S/S,여,OUTX.O,xo21opc01,[],97000,0,2021-03-24
132,1838579,우먼스 에슬레져슬림핏 원피스 (QM222OOP53)우먼스 에슬레져슬림핏 원피스,2021S/S,여,LECOQ,QM222OOP53,"['LECOQSPORTIF', 'ONEPIECE', '르']",79000,0,2021-03-24
133,1834193,플레어 플레그 폴로 원피스 (T32B1WOP49TWT2XNL)TOMMY JEANS,2021S/S,여,TOMMY,/,"['플레어플레그폴로원피스', 'T32B1WOP49TWT2']",145000,0,2021-03-24
134,1850580,우먼스 더블다이아 원피스 블랙 (UM222COP41)우먼스 더블다이아 원피스 블랙,2021S/S,여,UMBRO,UM222COP41_BLK,"['스포티원피스', '얼리버드쿠폰', '엄브로원피스', '여성원피스', '여자원피스', '우먼스더블다이']",79000,0,2021-03-24
135,1834201,플레어 플레그 폴로 원피스 (T32B1WOP49TWT2PJ4)TOMMY JEANS,2021S/S,여,TOMMY,/,"['플레어플레그폴로원피스', 'T32B1WOP49TWT2']",145000,0,2021-03-24
136,1835225,카키 베이직 밴딩 피나포어 롱 원피스 (321371LY4H),2021S/S,여,8SECONDS,321371LY4H,['321371LY4H'],49900,0,2021-03-24
137,1848487,체크 벨 슬리브 원피스(WX3OPF1),2021S/S,여,SWEET,/,[],42900,0,2021-03-24
138,1835223,브라운 베이직 밴딩 피나포어 롱 원피스 (321371LY4D),2021S/S,여,8SECONDS,321371LY4D,['321371LY4D'],49900,0,2021-03-24
139,1850295,Strap point sweat dress_3MF2V2270100,2020F/W,여,Benetton,3MF2V2270100,[],79000,0,2021-03-24
140,1835217,블랙 베이직 밴딩 피나포어 롱 원피스 (321371LY45),2021S/S,여,8SECONDS,321371LY45,['321371LY45'],49900,0,2021-03-24
141,1853836,[Mmlg] MLG ONE-PIECE (CHARCOAL BLACK),2021S/S,여,MMLG,MMLG-21SS-T038,"['여성원피스', '봄원피스', '캐주얼원피스', '여자원피스', '반팔원피스']",49000,0,2021-03-24
142,1853835,[Mmlg] MLG ONE-PIECE (OLIVE GREEN),2021S/S,여,MMLG,MMLG-21SS-T038,"['원피스', '여성원피스', '반팔원피스', '데일리룩', '봄원피스']",49000,0,2021-03-24
143,1839513,레오파드 원피스 (레오파드),2021S/S,여,SPUNKY,21,"['원피스', '미디원피스', '데일리룩']",98000,0,2021-03-24
144,1834196,플레어 플레그 폴로 원피스 (T32B1WOP49TWT2C87)TOMMY JEANS,2021S/S,여,TOMMY,/,"['플레어플레그폴로원피스', 'T32B1WOP49TWT2']",145000,0,2021-03-24
145,1856948,(OP-20313) CHECK SHIRRING PUFF-SLEEVE ONE-PIECE RED,2020S/S,여,ROLAROLA,1710054,"['여성원피스', '미니원피스', '원피스', '캐주얼원피스', '프릴', '체크원피스']",79000,0,2021-03-24
146,1833505,Dot Smocking Dress_ Navy,2021S/S,여,SALON,YOHN,"['여성원피스', '데일리룩', '미니드레스', '미니원피스', '봄원피스', '추천원피스', '여자원피스']",152000,0,2021-03-24
147,1835136,Peony Tweed Dress,2021S/S,여,ANGELO,/,[],138000,0,2021-03-24
148,1833517,Square Neck Mini Dress_ Yellow,2021S/S,여,SALON,YOHN,"['미니원피스', '추천원피스', '미니드레스', '반팔원피스', '여자원피스', '봄원피스', '여성원피스']",142000,0,2021-03-24
149,1833519,Square Neck Mini Dress_ Blue,2021S/S,여,SALON,YOHN,"['여성원피스', '봄원피스', '추천원피스', '반팔원피스', '여자원피스', '미니원피스', '미니드레스']",142000,0,2021-03-24
150,1850294,Jersey v-neck dress_3MF2V4266100,2020F/W,여,Benetton,3MF2V4266100,[],69000,0,2021-03-24
